node_id	node_id
118	155
108	159
182	57
7	121
7	110
169	57
169	39
148	99
148	42
148	154
148	167
148	178
148	112
148	82
148	56
148	140
148	1
15	82
15	140
99	82
99	1
54	72
102	123
102	16
124	85
124	180
42	169
42	36
42	58
42	109
42	136
42	151
42	103
42	3
42	22
42	75
42	97
42	9
42	166
42	171
42	115
42	130
42	11
42	150
42	59
42	70
42	64
42	30
42	175
42	24
42	52
42	165
42	167
42	181
42	40
42	178
42	112
42	81
42	73
42	14
42	179
42	50
42	62
42	138
42	5
42	27
42	72
42	66
42	45
42	68
42	61
42	16
42	18
42	83
42	33
42	60
42	133
42	49
42	85
42	56
42	29
42	116
42	67
42	98
42	95
42	21
42	155
42	48
42	86
42	26
42	157
42	6
42	8
42	158
42	122
42	63
42	12
42	71
42	156
42	2
42	141
42	137
42	161
42	143
42	144
42	128
42	23
42	87
42	46
42	159
42	145
42	113
42	0
42	139
42	19
42	76
42	80
42	96
42	168
107	55
107	152
107	40
107	25
107	43
69	146
69	43
109	40
4	55
4	152
4	40
4	25
4	72
4	8
4	156
41	91
41	135
78	55
78	152
78	91
78	25
78	95
78	146
176	72
162	135
74	10
51	52
51	10
151	43
31	24
31	34
31	123
31	18
31	49
31	127
31	125
31	139
105	77
170	127
103	134
53	116
173	45
129	49
129	110
174	34
174	18
174	139
106	114
106	18
106	37
106	156
106	43
3	163
22	52
75	141
11	6
77	124
77	177
77	66
77	144
93	178
93	33
30	111
30	25
177	25
55	25
24	111
152	25
167	60
153	131
153	104
82	1
81	155
100	122
100	63
138	131
138	94
138	104
117	139
5	37
72	25
66	31
66	89
45	41
45	173
45	178
61	37
123	111
33	178
60	167
32	37
29	29
116	178
116	91
155	118
155	108
155	81
157	160
160	157
132	6
6	145
65	8
122	63
37	106
37	5
37	61
71	124
71	154
71	133
71	85
71	180
71	35
71	120
38	164
38	113
141	169
143	6
143	145
144	52
88	23
119	23
23	88
10	124
10	52
10	138
10	131
10	104
84	159
159	108
159	84
145	6
17	76
131	138
131	10
131	94
131	104
149	167
149	61
149	60
120	101
1	90
79	147
147	178
147	28
147	126
147	33
94	174
94	138
104	138
104	10
104	94
142	52
142	138
142	180
142	10
142	131
172	44
172	144
13	155
13	13
47	47
47	89
47	20
89	111
89	92
89	121
89	49
89	156
89	110
89	125
89	19
89	20
20	111
20	121
20	49
20	156
20	110
20	125
20	89
